"","Protein","Gene","Protein_Description","aLOG_PISA_1","aLOG_PISA_2","aLOG_PISA_3","aLOG_PISA_4","bSTAT_PISA_1","bSTAT_PISA_2","bSTAT_PISA_3","bSTAT_PISA_4","cLOG_PROT_1","cLOG_PROT_2","cLOG_PROT_3","cLOG_PROT_4","dSTAT_PROT_1","dSTAT_PROT_2","dSTAT_PROT_3","dSTAT_PROT_4","log_prot","log_PISA","log_adj_p_PISA","log_adj_p_PROT","significant_PISA","significant_PROT","sig_PISA","sig_PROT","sig_all"
"1","sp|A0A385XJE6|INH21_ECOLI","insH21","Transposase InsH for insertion sequence element IS5U",365348.15126356,420312.433692323,350461.394749972,419135.388011487,709297.670358296,694720.478530262,689805.310839861,792991.44037893,1404718.7346803,1383519.313,1273705.26609659,1403155.92679563,184346.313435062,195706.577947578,200906.167708819,181699.951159534,-2.84113762589338,0.892325265526684,3.75203274293199,6.7306944955562,"not significant","significant",0,2,"2"
"2","sp|P00350|6PGD_ECOLI","gnd","6-phosphogluconate dehydrogenase, decarboxylating",39614403.7797773,41630838.461304,41284473.1717842,40771072.10014,34072881.7799496,39689266.7955047,35754567.7371253,34189009.091449,22951935.5137014,23137321.73,24929830.8963592,22278287.9769337,37156538.5188016,40386442.0830203,39262554.9590695,38563907.5783935,0.735794380941734,-0.184414206672082,1.70364369833216,5.27761066586719,"not significant","not significant",0,0,"0"
"3","sp|P00363|FRDA_ECOLI","frdA","Fumarate reductase flavoprotein subunit",3756981.47280075,2898023.68055801,3134921.63486344,3557466.11234054,4030075.10730656,3801786.01625947,4494028.5621218,4838409.27792482,7846744.40137173,7599703.788,7742657.20587654,7559673.5086205,9186265.53276825,7883750.92592784,8924126.78903878,8730103.4004045,0.175414275634928,0.362852962062916,1.51841288431214,1.78834653999286,"not significant","not significant",0,0,"0"
"4","sp|P00370|DHE4_ECOLI","gdhA","NADP-specific glutamate dehydrogenase",5841415.40010289,5261813.01609655,5460039.46262636,6088000.67764395,3656272.94004526,3999085.82524752,4059491.17588527,4345494.88094487,2440153.10533663,2405667.712,2232008.14194667,2418649.145552,5493093.54264826,4995134.79650164,5352864.36252658,5392800.77225369,1.16090445480283,-0.496088980461606,2.9327866832259,5.97202604575926,"not significant","significant",0,2,"2"
"5","sp|P00393|NDH_ECOLI","ndh","Type II NADH:quinone oxidoreductase",919914.017040543,1024556.04874514,961855.850631658,1012804.8817613,2606581.69449434,2603262.85224454,2822939.27649543,2919412.52211375,5562977.96610408,5457382.545,6538918.20488984,5319487.493948,2405939.52097091,2700095.26661003,2382460.41508367,2449086.84569385,-1.20304248169687,1.48261458806744,4.71288555816517,4.29443646139012,"significant","significant",1,2,"3"
"6","sp|P00448|SODM_ECOLI","sodA","Superoxide dismutase [Mn]",49914720.1857261,52271272.6323455,57201169.1725218,54822246.2033715,34029645.0851264,34536269.5898151,37099683.7715419,40685345.7591522,20901240.67516,22625563.17,20734394.4258276,21536411.9363113,45297781.2563312,49323088.0794359,46149148.4103478,50041837.2690426,1.15314143901906,-0.549589791886518,3.10083963328176,5.66921681621771,"not significant","significant",0,2,"2"
"7","sp|P00452|RIR1_ECOLI","nrdA","Ribonucleoside-diphosphate reductase 1 subunit alpha",13642344.3348626,14027968.3139722,11822268.132415,14302829.2869562,13127731.0150816,14424064.8830871,12953697.5174242,14847275.8355357,27685536.3973919,28783199.93,30840992.9743423,29452396.2481529,14387354.627368,16097343.6287339,14055416.5065986,15706893.7421903,-0.95461086627256,0.0411724111848131,0.182763115693888,5.21795937894302,"not significant","not significant",0,0,"0"
"8","sp|P00490|PHSM_ECOLI","malP","Maltodextrin phosphorylase",4213828.19225075,4314165.54046824,4175960.59029821,4472491.62646685,3423553.75593923,3667617.24353947,3439412.88519371,4083081.41715508,9602035.63856913,9470732.818,9260827.24820841,9341373.02698864,11710002.619364,11369891.3359898,11914502.6409285,11607540.5930423,0.30678361284889,-0.233113482618361,1.8301364904022,5.13517821973984,"not significant","not significant",0,0,"0"
"9","sp|P00509|AAT_ECOLI","aspC","Aspartate aminotransferase",32228077.0277125,29171196.8815833,31878801.9280164,30577318.0710878,21761133.4449572,23266153.0464938,23443116.5643501,22297210.5097543,15732887.2310225,15095487.45,15556221.4453037,14844865.6251835,23354372.2988199,22542338.0453965,23545102.3854404,22908059.9391378,0.592883971153858,-0.448407167280441,3.63930239206318,6.04038985580133,"not significant","not significant",0,0,"0"
"10","sp|P00547|KHSE_ECOLI","thrB","Homoserine kinase",3284120.05688597,11913404.9677293,11570703.497913,4588291.5881143,9935362.61804448,7814421.8975257,9286292.77582983,6906275.80977348,8865296.85646607,8653146.987,8745333.20988171,7309528.46738356,5136079.52122829,6863251.3492695,7191332.61942389,3171245.9899876,-0.586271202245123,0.114321124527368,0.0854451133279596,1.4639355719728,"not significant","not significant",0,0,"0"
"11","sp|P00550|PTM3C_ECOLI","mtlA","PTS system mannitol-specific EIICBA component",4217177.28722389,4014383.18355422,4560349.06556048,3879433.78373083,3283933.52234821,2530739.18915282,3036669.205389,2858705.43966148,2088208.63285991,1877823.552,1947370.17679447,1881632.86374635,3877391.54263151,3519896.45384489,4024616.99999387,3582211.50182286,0.944730922326659,-0.509623446213542,2.54027399267963,4.76488717620671,"not significant","not significant",0,0,"0"
"12","sp|P00561|AK1H_ECOLI","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1",907212.556240307,963073.488994806,878873.743899909,935658.099835464,1551609.93289433,1703351.95252211,1661411.05806962,1870066.26848238,3838749.27214158,3905173.569,3707427.55451381,3907741.89028162,2527828.00126344,2332877.74587487,2378820.42746953,2338043.56118205,-0.681361425791053,0.881061482714114,3.79527219281219,5.75908603144543,"not significant","not significant",0,0,"0"
"13","sp|P00562|AK2H_ECOLI","metL","Bifunctional aspartokinase/homoserine dehydrogenase 2",893225.396594886,816106.706852945,787817.05647888,876279.846094519,1805810.65625333,1928747.60277665,2008048.41316557,2128685.95416659,4680664.86571129,4584275.48,4384917.78154135,4621815.1669555,1547827.34038473,1350227.28577491,1478515.84356012,1484570.06505267,-1.64035542509752,1.22238477449202,4.28645684152243,6.87229632859742,"significant","significant",1,2,"3"
"14","sp|P00579|RPOD_ECOLI","rpoD","RNA polymerase sigma factor RpoD",3703495.04203383,3732164.15290074,3654667.86901564,3841911.39724819,7265302.20073524,6631889.0383652,7420330.32352089,7541056.14076094,8005790.45403242,7708132.317,7808936.19715753,7613828.77170094,6894143.57924135,6313755.93631286,6741302.95875284,6571521.97648542,-0.231495296267232,0.950569745140453,4.40010385888089,3.43711585206019,"not significant","not significant",0,0,"0"
"15","sp|P00722|BGAL_ECOLI","lacZ","Beta-galactosidase",3952637.23157433,4134040.21111306,3574670.07223003,4404107.74015795,15821214.7540808,15789393.3756734,18907999.1751227,19110562.7445584,34192582.44961,34959031.69,36509155.4128988,35417861.7304185,5335729.72950075,4656695.63437973,4277246.32955518,4395949.8253293,-2.91804403149228,2.11572996340437,4.15185658282778,7.32367821148616,"significant","significant",1,2,"3"
"16","sp|P00803|LEP_ECOLI","lepB","Signal peptidase I",5479858.92523141,5006947.41890339,5210853.24801514,5156446.94664801,4311592.05728579,3938733.75037648,4321973.39085747,4241914.14739522,4021343.05228408,3881493.105,3794990.25310716,3956947.79391047,6011705.24879934,5908697.4856994,6028242.62252526,5932273.8700246,0.60925567005138,-0.310650219704269,3.05808725338784,6.67718606487127,"not significant","not significant",0,0,"0"
