Group,SubGroup,Protein,Protein_ID,Entry_Name,Gene,Length,Percent_Coverage,Organism,Protein_Description,Protein_Existence,Protein_Probability,Top_Peptide_Probability,Total_Peptides,Unique_Peptides,Razor_Peptides,Total_Spectral_Count,Unique_Spectral_Count,Razor_Spectral_Count,Total_Intensity,Unique_Intensity,Razor_Intensity,Razor_Assigned_Modifications,Razor_Observed_Modifications,Indistinguishable_Proteins,TMT_126,TMT_127N,TMT_127C,TMT_128N,TMT_128C,TMT_129N,TMT_129C,TMT_130N,TMT_130C,TMT_131N,TMT_131C,TMT_132N,TMT_132C,TMT_133N,TMT_133C,TMT_134
1,a,sp|A0A385XJE6|INH21_ECOLI,A0A385XJE6,INH21_ECOLI,insH21,326,8,Escherichia coli (strain K12) OX=83333,Transposase InsH for insertion sequence element IS5U ,3:Protein inferred from homology,1,0.999,3,0,3,3,0,3,40159608,0,40159608,N-term(304.2072),,"sp|P0CE49|INSH1_ECOLI, sp|P0CE50|INSH2_ECOLI, sp|P0CE51|INSH3_ECOLI, sp|P0CE52|INSH4_ECOLI, sp|P0CE53|INSH6_ECOLI, sp|P0CE54|INSH7_ECOLI, sp|P0CE55|INSH8_ECOLI, sp|P0CE56|INSH9_ECOLI, sp|P0CE57|INH10_ECOLI, sp|P0CE58|INH11_ECOLI, sp|P76071|INSH5_ECOLI",446419.3789,504778.3906,455196.6797,589033.2344,134163.0332,112079.8457,112561.4863,129701.1172,1209581.461,1383519.313,1142235.68,1375785.047,135812.623,137879.6797,125492.5459,113572.8799
2,a,sp|P00350|6PGD_ECOLI,P00350,6PGD_ECOLI,gnd,468,86.5,Escherichia coli (strain K12) OX=83333,"6-phosphogluconate dehydrogenase, decarboxylating ",1:Experimental evidence at protein level,1,0.999,40,40,40,292,292,292,3552422656,3552422656,3552422656,"10K(304.2072), 10M(15.9949), 11C(57.0215), 11K(304.2072), 11M(15.9949), 12K(304.2072), 13K(304.2072), 13M(15.9949), 14K(304.2072), 17K(304.2072), 18K(304.2072), 19K(304.2072), 1K(304.2072), 21K(304.2072), 22K(304.2072), 23K(304.2072), 25K(304.2072), 28M(15.9949), 2K(304.2072), 31K(304.2072), 33K(304.2072), 3K(304.2072), 4K(304.2072), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)",,,20695433.72,21376123.93,22926139.53,24497563.06,32882309.41,32669283.5,29767607.28,28530595.82,19763554.8,23137321.73,22356618.21,21843713.08,27374168.02,28453155.52,24524672.57,24104651.74
3,a,sp|P00363|FRDA_ECOLI,P00363,FRDA_ECOLI,frdA,602,36.7,Escherichia coli (strain K12) OX=83333,Fumarate reductase flavoprotein subunit ,1:Experimental evidence at protein level,1,0.999,23,23,23,44,44,44,303229312,303229312,303229312,"11K(304.2072), 13K(304.2072), 15K(304.2072), 17K(304.2072), 18K(304.2072), 2K(304.2072), 5C(57.0215), 5M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)",,,2456825.633,1862642.909,2179138.06,2675625.936,3301332.271,2656298.363,3175929.665,3427279.963,6756709.598,7599703.788,6943473.937,7412209.559,6767755.722,5554279.595,5574300.697,5456814.813
4,a,sp|P00370|DHE4_ECOLI,P00370,DHE4_ECOLI,gdhA,447,47,Escherichia coli (strain K12) OX=83333,NADP-specific glutamate dehydrogenase ,1:Experimental evidence at protein level,1,0.999,19,19,19,49,49,49,299745728,299745728,299745728,"10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 19K(304.2072), 1K(304.2072), 29K(304.2072), 2M(15.9949), 3M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)",,,2513521.873,2225319.537,2497371.406,3012927.031,3902169.285,3640334.664,3737645.001,4010307.025,2101177.898,2405667.712,2001624.242,2371469.389,4046901.88,3519184.654,3343573.691,3370809.461
5,a,sp|P00393|NDH_ECOLI,P00393,NDH_ECOLI,ndh,434,31.6,Escherichia coli (strain K12) OX=83333,Type II NADH:quinone oxidoreductase ,1:Experimental evidence at protein level,1,0.999,12,12,12,23,23,23,249952596,249952596,249952596,"10K(304.2072), 11K(304.2072), 18K(304.2072), 23K(304.2072), 3K(304.2072), 3M(15.9949), 6M(15.9949), 8K(304.2072), 8M(15.9949), N-term(304.2072)",,,893016.3345,977552.9268,992532.9495,1130803.897,1219179.051,1038549.642,1139086.323,1180762.358,4790193.83,5457382.545,5863982.729,5215722.082,1772516.906,1902277.759,1488162.491,1530819.598
6,a,sp|P00448|SODM_ECOLI,P00448,SODM_ECOLI,sodA,206,58.7,Escherichia coli (strain K12) OX=83333,Superoxide dismutase [Mn] ,1:Experimental evidence at protein level,1,0.999,12,12,12,102,102,102,3646764864,3646764864,3646764864,"10K(304.2072), 14K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 30K(304.2072), 3M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)",,,21557907.94,22188780.72,26260661.01,27232288.66,36257796.86,31385749.64,34101473.9,37484600.4,17997733.36,22625563.17,18594227.21,21116308.56,33372028.84,34749223.34,28826263.48,31279015.42
7,a,sp|P00452|RIR1_ECOLI,P00452,RIR1_ECOLI,nrdA,761,52.7,Escherichia coli (strain K12) OX=83333,Ribonucleoside-diphosphate reductase 1 subunit alpha ,1:Experimental evidence at protein level,1,0.999,37,37,37,175,175,175,1579263168,1579263168,1579263168,"10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 2M(15.9949), 3K(304.2072), 3M(15.9949), 5C(57.0215), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9C(57.0215), 9K(304.2072), 9M(15.9949), N-term(304.2072)",,,12530405.91,12663778.37,11542495.49,15109407.42,6901367.505,6467645.996,5874869.002,6749368.568,23839584.92,28783199.93,27657640.68,28877878.49,10599530.49,11340940.13,8779471.637,9817708.509
8,a,sp|P00490|PHSM_ECOLI,P00490,PHSM_ECOLI,malP,797,47.3,Escherichia coli (strain K12) OX=83333,Maltodextrin phosphorylase ,1:Experimental evidence at protein level,1,0.999,35,35,35,64,64,64,560149608,560149608,560149608,"10K(304.2072), 12K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16K(304.2072), 17K(304.2072), 18K(304.2072), 19K(304.2072), 1C(57.0215), 2K(304.2072), 3M(15.9949), 6K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)",,,2622955.726,2639388.581,2763079.004,3201938.719,2924005.694,2671764.389,2534220.075,3015504.528,8268163.59,9470732.818,8304941.175,9159154.078,8627057.094,8010343.812,7442187,7255377.92
9,a,sp|P00509|AAT_ECOLI,P00509,AAT_ECOLI,aspC,396,65.4,Escherichia coli (strain K12) OX=83333,Aspartate aminotransferase ,1:Experimental evidence at protein level,1,0.999,29,29,29,191,191,191,2432944896,2432944896,2432944896,"10K(304.2072), 10M(15.9949), 12K(304.2072), 13K(304.2072), 14K(304.2072), 1C(57.0215), 1C(57.0215), 1K(304.2072), 4C(57.0215), 4M(15.9949), 5K(304.2072), 5M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)",,,17890886.95,15916373.4,18811448.83,19522984.68,20211135.2,18430913.64,18783801.6,17907320.71,13547344.57,15095487.45,13950536.01,14555291.94,17205760.73,15881583.45,14707038.99,14318849.97
10,a,sp|P00547|KHSE_ECOLI,P00547,KHSE_ECOLI,thrB,310,13.5,Escherichia coli (strain K12) OX=83333,Homoserine kinase ,1:Experimental evidence at protein level,1,0.999,5,5,5,11,11,11,544428728,544428728,544428728,"5M(15.9949), 7C(57.0215), 7K(304.2072), N-term(304.2072)",,,2744717.39,9786038.182,10279243.39,4410409.984,6134977.455,4115657.177,4946870.835,3687602.065,7633769.28,8653146.987,7842655.512,7166944.011,3783880.56,4835314.723,4491940.935,1982210.439
11,a,sp|P00550|PTM3C_ECOLI,P00550,PTM3C_ECOLI,mtlA,637,28.4,Escherichia coli (strain K12) OX=83333,PTS system mannitol-specific EIICBA component ,1:Experimental evidence at protein level,1,0.999,15,15,15,34,34,34,181039296,181039296,181039296,"12K(304.2072), 12M(15.9949), 14M(15.9949), 16K(304.2072), 17K(304.2072), 20K(304.2072), 22K(304.2072), 2K(304.2072), 4K(304.2072), 5C(57.0215), 6C(57.0215), 7K(304.2072), N-term(304.2072)",,,2007664.178,1878366.907,2307756.981,2124158.398,3338041.802,2194107.454,2662893.82,2512683.018,1798123.985,1877823.552,1746366.1,1844928.499,2856573.077,2479846.108,2513907.061,2239087.43
