"","Protein","Gene","Protein_Description","aNoGlu_PISA_1","aNoGlu_PISA_2","aNoGlu_PISA_3","aNoGlu_PISA_4","aNoGlu_PISA_5","bGlu_PISA_1","bGlu_PISA_2","bGlu_PISA_3","bGlu_PISA_4","bGlu_PISA_5","cNoGlu_PROT_1","cNoGlu_PROT_2","cNoGlu_PROT_3","dGlu_PROT_1","dGlu_PROT_2","dGlu_PROT_3","log_PISA","log_PROT","log_adj_p_PISA","log_adj_p_PROT","significant_PISA","significant_PROT","sig_PISA","sig_PROT","sig_all"
"1","sp|A0A0B4J2D5|GAL3B_HUMAN","GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",704490.243086453,714354.004481207,723436.726811123,794118.325871668,802420.875300255,856295.159666451,780393.04258714,829831.752585469,862945.339052647,817929.169718234,607977.030061615,571484.22390605,636069.880304662,518489.772,497673.112482098,507062.550206416,-0.149622186034551,0.253262196953608,1.28016378696919,1.53120345107202,"not significant","not significant",0,0,"0"
"2","sp|A0A0U1RRE5|NBDY_HUMAN","NBDY","Negative regulator of P-body association",116000.448517543,134846.120917195,114281.786342539,104665.968153765,107261.211450433,114093.500712654,84696.5610070587,84765.9581584742,72911.531532594,79968.4458766876,131865.61976379,128644.844521576,117184.612690562,146011.8726,148945.944647199,157991.693128705,0.402940069205378,-0.262128264858678,1.27968268632282,1.40538217703782,"not significant","not significant",0,0,"0"
"3","sp|A0AVT1|UBA6_HUMAN","UBA6","Ubiquitin-like modifier-activating enzyme 6",2645780.01996996,2764274.28930123,2645926.36383041,2472629.62186124,2431619.71539908,2727309.60214282,2724892.49680393,2836344.90595419,2576407.24573594,2525480.09382753,2443162.41344071,2391101.67378015,2246281.46347654,2163784.275,2253066.17045975,2225612.76895856,-0.0471114354736237,0.0921421899810247,0.309612631759932,0.794819644837509,"not significant","not significant",0,0,"0"
"4","sp|A0JNW5|UH1BL_HUMAN","UHRF1BP1L","UHRF1-binding protein 1-like",87196.1323848721,84490.8797359577,70311.2872230988,84231.2999063077,74843.4326956473,63397.000495398,71057.2528438711,71442.1414486885,64242.0412972862,70116.40927599,71985.571744315,68281.0831406782,60385.8403724229,69697.4976,64972.9170686078,66184.919483169,0.237249256532757,-0.00145767863266613,1.33281249263524,0.00410510083305381,"not significant","not significant",0,0,"0"
"5","sp|A0MZ66|SHOT1_HUMAN","SHTN1","Shootin-1",1108208.97866116,1114126.6550934,1127299.74245898,1212627.73370164,1246514.77181077,1045440.75496633,1017464.77514548,1028823.20664863,1154184.12237151,1114797.56821014,684851.61823677,662195.160171075,612476.633605252,656935.3071,653247.93743992,689007.569997317,0.115810458291402,-0.0289133678707178,0.873237818499842,0.150489200580179,"not significant","not significant",0,0,"0"
"6","sp|A1L0T0|HACL2_HUMAN","ILVBL","2-hydroxyacyl-CoA lyase 2",84889.1837881491,85365.41747207,84993.6094025559,79536.1243128552,72647.331806453,75657.8975717136,93697.0501000686,81867.5018895017,78126.5226083717,79278.6624814304,161654.684234882,165115.496597254,170167.976158208,153948.2852,157413.230073805,152676.046018674,-0.00422865874068865,0.0988247339802179,0.0107122376369668,1.28059865416294,"not significant","not significant",0,0,"0"
"7","sp|A1L170|CA226_HUMAN","C1orf226","Uncharacterized protein C1orf226",59572.0287431877,72879.075924169,67275.3399678173,67870.297075961,78083.7632681424,66498.2628626095,62345.6729392904,64406.4482131336,73836.6694218682,64624.735518306,59524.5300845887,54343.3773247978,59121.1779040756,62898.4951,62332.5872432384,61647.4809436485,0.0595089575059378,-0.111420073616749,0.209306675497384,0.948116136202498,"not significant","not significant",0,0,"0"
"8","sp|A1X283|SPD2B_HUMAN","SH3PXD2B","SH3 and PX domain-containing protein 2B",669721.692805985,676708.198097615,661440.776369861,722212.716167278,686127.495051212,623214.247855343,606290.3853653,622304.07149819,648896.280173781,662664.426414849,580266.707484475,583474.497682643,538136.000113872,561764.6372,571484.60442206,569734.827848698,0.110934993055835,-0.00093799271389309,1.40136625665683,0.00567204445232655,"not significant","not significant",0,0,"0"
"9","sp|A2RRP1|NBAS_HUMAN","NBAS","Neuroblastoma-amplified sequence",103260.78481551,108099.653374267,111112.135012575,85359.72572131,84998.9848813173,115188.320746571,139680.964065411,117209.267732584,98066.3444243613,105621.203331924,298357.401145495,278033.590876779,282187.011520569,269485.3662,252561.069606825,259009.238714538,-0.224389011120251,0.136523822987906,0.655712967385208,1.11918008545711,"not significant","not significant",0,0,"0"
"10","sp|A2RTX5|SYTC2_HUMAN","TARS3","Threonine--tRNA ligase 2, cytoplasmic",62320.3384716686,72479.4681771113,60981.135025367,46571.0188497655,41245.185309831,68796.0687524425,75324.8304664186,69547.692713881,50838.674033733,54533.1383431179,163150.71747126,167330.455130945,136947.991567,165517.2441,186112.493130887,177206.252162361,-0.169896129989891,-0.178072610751643,0.284826748779603,0.632813520604993,"not significant","not significant",0,0,"0"
