"","Group","SubGroup","Protein","Protein_ID","Entry_Name","Gene","Length","Percent_Coverage","Organism","Protein_Description","Protein_Existence","Protein_Probability","Top_Peptide_Probability","Total_Peptides","Unique_Peptides","Razor_Peptides","Total_Spectral_Count","Unique_Spectral_Count","Razor_Spectral_Count","Total_Intensity","Unique_Intensity","Razor_Intensity","Razor_Assigned_Modifications","Razor_Observed_Modifications","Indistinguishable_Proteins","TMT_126","TMT_127N","TMT_127C","TMT_128N","TMT_128C","TMT_129N","TMT_129C","TMT_130N","TMT_130C","TMT_131N","TMT_131C","TMT_132N","TMT_132C","TMT_133N","TMT_133C","TMT_134","aLOG_PISA_1","aLOG_PISA_2","aLOG_PISA_3","aLOG_PISA_4","bSTAT_PISA_1","bSTAT_PISA_2","bSTAT_PISA_3","bSTAT_PISA_4","cLOG_PROT_1","cLOG_PROT_2","cLOG_PROT_3","cLOG_PROT_4","dSTAT_PROT_1","dSTAT_PROT_2","dSTAT_PROT_3","dSTAT_PROT_4","mean_LPISA","mean_SPISA","mean_LPROT","mean_SPROT","log_PISA","log_PROT","pval_PISA","pval_PROT","neglog_PISA","neglog_PROT","adj_p_PISA","adj_p_PROT","log_adj_p_PISA","log_adj_p_PROT","LPISA_SDs","SPISA_SDs","LPROT_SDs","SPROT_SDs","LPISA_rsd","SPISA_rsd","LPROT_rsd","SPROT_rsd"
"1",1,"a","sp|A0A385XJE6|INH21_ECOLI","A0A385XJE6","INH21_ECOLI","insH21",326,8,"Escherichia coli (strain K12) OX=83333","Transposase InsH for insertion sequence element IS5U","3:Protein inferred from homology",1,0.999,3,0,3,3,0,3,40159608,0,40159608,"N-term(304.2072)",NA,"sp|P0CE49|INSH1_ECOLI, sp|P0CE50|INSH2_ECOLI, sp|P0CE51|INSH3_ECOLI, sp|P0CE52|INSH4_ECOLI, sp|P0CE53|INSH6_ECOLI, sp|P0CE54|INSH7_ECOLI, sp|P0CE55|INSH8_ECOLI, sp|P0CE56|INSH9_ECOLI, sp|P0CE57|INH10_ECOLI, sp|P0CE58|INH11_ECOLI, sp|P76071|INSH5_ECOLI",446419.3789,504778.3906,455196.6797,589033.2344,134163.0332,112079.8457,112561.4863,129701.1172,1209581.461,1383519.313,1142235.68,1375785.047,135812.623,137879.6797,125492.5459,113572.8799,641214.325797258,737680.902071418,615086.914153995,735615.09566167,173722.947314874,170152.665282704,168948.830202727,194221.433363099,1404718.7346803,1383519.313,1273705.26609659,1403155.92679563,184346.313435062,195706.577947578,200906.167708819,181699.951159534,682399.309421086,176761.469040851,1366274.81014313,190664.752562748,-1.9488123603667,-2.84113762589338,4.31885951420465e-06,2.4999713044051e-08,5.36463092264804,7.60206497629198,2.15763397352053e-05,1.85911178736255e-07,4.66602222821797,6.7306944955562,63548.2384330962,11815.1961634451,62462.3765774803,9139.60109659473,9.31247109364858,6.68425999600314,4.57172862397549,4.79354520106534
"2",2,"a","sp|P00350|6PGD_ECOLI","P00350","6PGD_ECOLI","gnd",468,86.5,"Escherichia coli (strain K12) OX=83333","6-phosphogluconate dehydrogenase, decarboxylating","1:Experimental evidence at protein level",1,0.999,40,40,40,292,292,292,3552422656,3552422656,3552422656,"10K(304.2072), 10M(15.9949), 11C(57.0215), 11K(304.2072), 11M(15.9949), 12K(304.2072), 13K(304.2072), 13M(15.9949), 14K(304.2072), 17K(304.2072), 18K(304.2072), 19K(304.2072), 1K(304.2072), 21K(304.2072), 22K(304.2072), 23K(304.2072), 25K(304.2072), 28M(15.9949), 2K(304.2072), 31K(304.2072), 33K(304.2072), 3K(304.2072), 4K(304.2072), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)",NA,NA,20695433.72,21376123.93,22926139.53,24497563.06,32882309.41,32669283.5,29767607.28,28530595.82,19763554.8,23137321.73,22356618.21,21843713.08,27374168.02,28453155.52,24524672.57,24104651.74,29725879.3122962,31238972.7395609,30979066.9524772,30593820.7582056,42578134.7437874,49596478.5254989,44679602.1730408,42723249.6873484,22951935.5137014,23137321.73,24929830.8963592,22278287.9769337,37156538.5188016,40386442.0830203,39262554.9590695,38563907.5783935,30634434.940635,44894366.2824189,23324344.0292486,38842360.7848212,0.551380174269653,0.735794380941734,0.000142406759894535,2.15738581485565e-06,3.84646939472153,5.66607218114713,0.000349543865195677,5.27702721719273e-06,3.45649831572077,5.27761066586719,661150.516276254,3277939.34147358,1132178.84157309,1351577.23916637,2.15819393293027,7.30144918596893,4.85406509247739,3.47964750817757
"3",3,"a","sp|P00363|FRDA_ECOLI","P00363","FRDA_ECOLI","frdA",602,36.7,"Escherichia coli (strain K12) OX=83333","Fumarate reductase flavoprotein subunit","1:Experimental evidence at protein level",1,0.999,23,23,23,44,44,44,303229312,303229312,303229312,"11K(304.2072), 13K(304.2072), 15K(304.2072), 17K(304.2072), 18K(304.2072), 2K(304.2072), 5C(57.0215), 5M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)",NA,NA,2456825.633,1862642.909,2179138.06,2675625.936,3301332.271,2656298.363,3175929.665,3427279.963,6756709.598,7599703.788,6943473.937,7412209.559,6767755.722,5554279.595,5574300.697,5456814.813,3528860.67748059,2722058.08912465,2944571.79635909,3341459.72403469,4274777.92134345,4032627.30625382,4766902.24467913,5132193.47158013,7846744.40137173,7599703.788,7742657.20587654,7559673.5086205,9186265.53276825,7883750.92592784,8924126.78903878,8730103.4004045,3134237.57174976,4551625.23596413,7687194.72596719,8681061.66203484,0.538267237697844,0.175414275634928,0.00365007494416159,0.0138942246970984,2.43769821841978,1.85716568200399,0.00580101196482824,0.016279964742649,2.23649623878106,1.78834653999286,367211.768250916,493087.873623564,132222.679218748,563448.048176955,11.7161433951515,10.833226552298,1.72003811445159,6.49054309383724
"4",4,"a","sp|P00370|DHE4_ECOLI","P00370","DHE4_ECOLI","gdhA",447,47,"Escherichia coli (strain K12) OX=83333","NADP-specific glutamate dehydrogenase","1:Experimental evidence at protein level",1,0.999,19,19,19,49,49,49,299745728,299745728,299745728,"10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 19K(304.2072), 1K(304.2072), 29K(304.2072), 2M(15.9949), 3M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)",NA,NA,2513521.873,2225319.537,2497371.406,3012927.031,3902169.285,3640334.664,3737645.001,4010307.025,2101177.898,2405667.712,2001624.242,2371469.389,4046901.88,3519184.654,3343573.691,3370809.461,3610296.30287037,3252072.10534521,3374586.28350571,3762698.73530704,5052780.43394577,5526530.14225748,5610007.21817957,6005249.57252724,2440153.10533663,2405667.712,2232008.14194667,2418649.145552,5493093.54264826,4995134.79650164,5352864.36252658,5392800.77225369,3499913.35675709,5548641.84172751,2374119.52620882,5308473.36848254,0.664815474341222,1.16090445480283,0.000102985207551296,2.87279893979938e-07,3.98722515141332,6.54169476815745,0.000265630390824098,1.06653215663031e-06,3.57572223874622,5.97202604575926,229762.711772711,390991.812460707,95802.3210138078,217061.696896688,6.56481142109194,7.04662192323042,4.03527791908574,4.08896648489237
"5",5,"a","sp|P00393|NDH_ECOLI","P00393","NDH_ECOLI","ndh",434,31.6,"Escherichia coli (strain K12) OX=83333","Type II NADH:quinone oxidoreductase","1:Experimental evidence at protein level",1,0.999,12,12,12,23,23,23,249952596,249952596,249952596,"10K(304.2072), 11K(304.2072), 18K(304.2072), 23K(304.2072), 3K(304.2072), 3M(15.9949), 6M(15.9949), 8K(304.2072), 8M(15.9949), N-term(304.2072)",NA,NA,893016.3345,977552.9268,992532.9495,1130803.897,1219179.051,1038549.642,1139086.323,1180762.358,4790193.83,5457382.545,5863982.729,5215722.082,1772516.906,1902277.759,1488162.491,1530819.598,1282683.71382826,1428591.51321281,1341165.38263519,1412206.25303693,1578671.65785181,1576661.6068307,1709708.25010131,1768137.10307773,5562977.96610408,5457382.545,6538918.20488984,5319487.493948,2405939.52097091,2700095.26661003,2382460.41508367,2449086.84569385,1366161.71567829,1658294.65446539,5719691.55248548,2484395.51208961,0.279572106370574,-1.20304248169687,0.00250621945585976,2.91866475768442e-05,2.60098090289655,4.53481578587838,0.0041391376992653,5.07649004196813e-05,2.38309012541457,4.29443646139012,67357.1884291674,96111.9094063827,555175.876050123,146423.122680864,4.93039642790201,5.79582821108279,9.706395370374,5.8937122518672
"6",6,"a","sp|P00448|SODM_ECOLI","P00448","SODM_ECOLI","sodA",206,58.7,"Escherichia coli (strain K12) OX=83333","Superoxide dismutase [Mn]","1:Experimental evidence at protein level",1,0.999,12,12,12,102,102,102,3646764864,3646764864,3646764864,"10K(304.2072), 14K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 30K(304.2072), 3M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)",NA,NA,21557907.94,22188780.72,26260661.01,27232288.66,36257796.86,31385749.64,34101473.9,37484600.4,17997733.36,22625563.17,18594227.21,21116308.56,33372028.84,34749223.34,28826263.48,31279015.42,30964693.8701622,32426585.7695266,35484856.6886087,34009087.1920284,46948933.5730313,47647897.0843344,51184506.4682113,56131458.04677,20901240.67516,22625563.17,20734394.4258276,21536411.9363113,45297781.2563312,49323088.0794359,46149148.4103478,50041837.2690426,33221305.8800815,50478198.7930868,21449402.5518247,47702963.7537894,0.603551647132545,1.15314143901906,0.000301514568240995,7.29017686980166e-07,3.52069169926571,6.13726193496775,0.000655691861975665,2.14182105615122e-06,3.18330020648294,5.66921681621771,1955175.99170931,4200179.81668063,856862.979323552,2330549.08540869,5.88530745530258,8.32077989529189,3.9948104720085,4.88554358474961
"7",7,"a","sp|P00452|RIR1_ECOLI","P00452","RIR1_ECOLI","nrdA",761,52.7,"Escherichia coli (strain K12) OX=83333","Ribonucleoside-diphosphate reductase 1 subunit alpha","1:Experimental evidence at protein level",1,0.999,37,37,37,175,175,175,1579263168,1579263168,1579263168,"10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 2M(15.9949), 3K(304.2072), 3M(15.9949), 5C(57.0215), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9C(57.0215), 9K(304.2072), 9M(15.9949), N-term(304.2072)",NA,NA,12530405.91,12663778.37,11542495.49,15109407.42,6901367.505,6467645.996,5874869.002,6749368.568,23839584.92,28783199.93,27657640.68,28877878.49,10599530.49,11340940.13,8779471.637,9817708.509,17998044.344187,18506789.5646445,15596857.9060365,18869407.5911966,8936335.70198457,9818778.72378629,8817867.26622286,10106867.7423297,27685536.3973919,28783199.93,30840992.9743423,29452396.2481529,14387354.627368,16097343.6287339,14055416.5065986,15706893.7421903,17742774.8515161,9419962.35858086,29190531.3874718,15061752.1262227,-0.913438455087747,-0.95461086627256,4.74263516781607e-05,2.54811352824163e-06,4.32398028262167,5.59378122641891,0.000141046439458688,6.05397497016457e-06,3.85063787259236,5.21795937894302,1474578.1162513,639611.01267123,1319535.96533106,992669.940197024,8.31086528793602,6.78995295653802,4.52042461240494,6.59066708758786
"8",8,"a","sp|P00490|PHSM_ECOLI","P00490","PHSM_ECOLI","malP",797,47.3,"Escherichia coli (strain K12) OX=83333","Maltodextrin phosphorylase","1:Experimental evidence at protein level",1,0.999,35,35,35,64,64,64,560149608,560149608,560149608,"10K(304.2072), 12K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16K(304.2072), 17K(304.2072), 18K(304.2072), 19K(304.2072), 1C(57.0215), 2K(304.2072), 3M(15.9949), 6K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), 9M(15.9949), N-term(304.2072)",NA,NA,2622955.726,2639388.581,2763079.004,3201938.719,2924005.694,2671764.389,2534220.075,3015504.528,8268163.59,9470732.818,8304941.175,9159154.078,8627057.094,8010343.812,7442187,7255377.92,3767481.5810805,3857190.77045823,3733625.0766463,3998746.28378013,3786191.13634615,4056106.86699728,3803730.13204888,4515578.77360424,9602035.63856913,9470732.818,9260827.24820841,9341373.02698864,11710002.619364,11369891.3359898,11914502.6409285,11607540.5930423,3839260.92799129,4040401.72724914,9418742.18294155,11650484.2973312,0.0736701302305289,0.30678361284889,0.306508143079661,3.22347097826835e-06,0.513557982980527,5.4916762354993,0.340832516344482,7.32523868476875e-06,0.467458979059868,5.13517821973984,118417.7150237,339939.379546385,149691.493762246,226439.607920728,3.0843883040181,8.41350446055345,1.58929388717482,1.94360682476178
"9",9,"a","sp|P00509|AAT_ECOLI","P00509","AAT_ECOLI","aspC",396,65.4,"Escherichia coli (strain K12) OX=83333","Aspartate aminotransferase","1:Experimental evidence at protein level",1,0.999,29,29,29,191,191,191,2432944896,2432944896,2432944896,"10K(304.2072), 10M(15.9949), 12K(304.2072), 13K(304.2072), 14K(304.2072), 1C(57.0215), 1C(57.0215), 1K(304.2072), 4C(57.0215), 4M(15.9949), 5K(304.2072), 5M(15.9949), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)",NA,NA,17890886.95,15916373.4,18811448.83,19522984.68,20211135.2,18430913.64,18783801.6,17907320.71,13547344.57,15095487.45,13950536.01,14555291.94,17205760.73,15881583.45,14707038.99,14318849.97,25697569.4958103,23260117.5210006,25419069.4432046,24381310.6022928,26170681.2359353,27980669.136854,28193491.4987002,26815385.796761,15732887.2310225,15095487.45,15556221.4453037,14844865.6251835,23354372.2988199,22542338.0453965,23545102.3854404,22908059.9391378,24689516.7655771,27290056.9170626,15307365.4378774,23087468.1671986,0.144476803873416,0.592883971153858,0.0121467394843125,2.36333446156368e-07,1.91554028288904,6.62647481220905,0.017313729718713,9.11192516320378e-07,1.761609366453,6.04038985580133,1108541.18189124,961154.49146181,408981.037605438,450932.757431465,4.48992660495002,3.52199518814805,2.67179247314128,1.95314944958809
"10",10,"a","sp|P00547|KHSE_ECOLI","P00547","KHSE_ECOLI","thrB",310,13.5,"Escherichia coli (strain K12) OX=83333","Homoserine kinase","1:Experimental evidence at protein level",1,0.999,5,5,5,11,11,11,544428728,544428728,544428728,"5M(15.9949), 7C(57.0215), 7K(304.2072), N-term(304.2072)",NA,NA,2744717.39,9786038.182,10279243.39,4410409.984,6134977.455,4115657.177,4946870.835,3687602.065,7633769.28,8653146.987,7842655.512,7166944.011,3783880.56,4835314.723,4491940.935,1982210.439,3942373.9065035,14301272.8124561,13889881.8435141,5507947.55340438,7943964.44215833,6248135.27965484,7424991.16002911,5522013.79755751,8865296.85646607,8653146.987,8745333.20988171,7309528.46738356,5136079.52122829,6863251.3492695,7191332.61942389,3171245.9899876,9410369.02896952,6784776.16984995,8393326.38018283,5590477.36997732,-0.471950077717755,-0.586271202245123,0.381421403850302,0.030241018087041,0.418594939729297,1.51940359206828,0.417375060770617,0.0343608918850863,0.379473504703451,1.4639355719728,5450224.42679371,1100930.65755212,727733.834620091,1847687.65460314,57.9172231186192,16.2264845588335,8.67038646725709,33.0506239865279
"11",11,"a","sp|P00550|PTM3C_ECOLI","P00550","PTM3C_ECOLI","mtlA",637,28.4,"Escherichia coli (strain K12) OX=83333","PTS system mannitol-specific EIICBA component","1:Experimental evidence at protein level",1,0.999,15,15,15,34,34,34,181039296,181039296,181039296,"12K(304.2072), 12M(15.9949), 14M(15.9949), 16K(304.2072), 17K(304.2072), 20K(304.2072), 22K(304.2072), 2K(304.2072), 4K(304.2072), 5C(57.0215), 6C(57.0215), 7K(304.2072), N-term(304.2072)",NA,NA,2007664.178,1878366.907,2307756.981,2124158.398,3338041.802,2194107.454,2662893.82,2512683.018,1798123.985,1877823.552,1746366.1,1844928.499,2856573.077,2479846.108,2513907.061,2239087.43,2883707.77159283,2745037.07008899,3118368.79169712,2652758.60832703,4322311.78941245,3330957.75501008,3996862.60932991,3762626.7828561,2088208.63285991,1877823.552,1947370.17679447,1881632.86374635,3877391.54263151,3519896.45384489,4024616.99999387,3582211.50182286,2849968.06042649,3853189.73415214,1948758.80635018,3751029.12457328,0.435107476113116,0.944730922326659,0.00493873160451283,8.63469677081655e-06,2.30638457494116,5.06375290917625,0.00766157007465741,1.71835473434146e-05,2.11568222189647,4.76488717620671,202549.912685554,416991.321244455,98295.277753329,239957.973753608,7.1070941284599,10.8219773749659,5.04399402496739,6.3971237168388
